Query Number | TFIDF NDCG SCORE | Language Model NDCG SCORE
159 |0.0847660686421 |0.4672056176872
160 |0.674490430847 |0.6401413707992
161 |0.0 |0.397297873493
162 |0.0751913578791 |0.2239393676584
163 |0.58965987333 |0.8675596310173
164 |0.289847598844 |0.7124561075385
165 |0.664936085169 |1.004023084013
166 |0.0 |0.2996741504072
167 |0.142988130965 |0.2848602665741
168 |0.335063914831 |0.3270177468041
169 |0.400628850422 |0.3958389365252
170 |0.323904921546 |0.8474003766085
171 |0.689260230802 |1.001569812244
172 |0.578888655515 |1.05
173 |0.662081661635 |1.03
174 |0.222234401519 |0.2220651517441
175 |0.0 |0.3438629712811
176 |0.544196964866 |0.3544593611872
177 |0.599155838958 |0.6473693182833
178 |0.421389956301 |0.00
179 |0.127736259803 |0.6440599915252
180 |0.723738352596 |0.6686126178074
